User_ID Friend_ID Mutual
0 5727 0.0
0 5728 0.0
1 5729 0.0
1 5730 0.0
1 5731 0.0
1 5727 0.0
1 5732 0.0
1 171 0.0
1 5733 0.0
2 5734 0.04
2 1658 0.16
2 1324 0.08
2 5736 0.06
2 5737 0.19
2 5738 0.15
2 5739 0.06
2 5740 0.18
2 5741 0.11
2 2299 0.02
2 5742 0.07
2 5743 0.07
2 5744 0.25
2 5745 0.23
2 4149 0.13
2 5746 0.09
2 5747 0.15
2 5748 0.06
2 5749 0.06
2 5750 0.09
2 5751 0.19
2 5752 0.25
2 5753 0.12
2 5754 0.13
2 5755 0.11
2 5756 0.19
2 5757 0.12
2 5758 0.15
2 5759 0.18
2 5760 0.24
2 5761 0.09
2 5762 0.14
2 5763 0.21
2 5764 0.07
2 5765 0.07
2 5766 0.04
2 5767 0.13
2 5768 0.11
2 5769 0.04
2 5770 0.04
2 5771 0.06
2 5772 0.0
2 5773 0.2
2 5774 0.14
2 5775 0.07
2 5776 0.17
2 5777 0.05
2 3409 0.19
2 5778 0.19
2 5779 0.19
2 5780 0.06
2 2791 0.15
2 2597 0.05
2 5782 0.15
2 5642 0.2
2 5783 0.06
2 3046 0.02
2 5784 0.07
2 5785 0.18
2 5786 0.09
2 5787 0.23
2 4020 0.12
2 5788 0.12
2 5789 0.03
2 5790 0.03
2 5791 0.05
2 5792 0.12
2 5793 0.07
2 5794 0.11
2 389 0.08
2 5795 0.16
2 5796 0.16
2 5797 0.24
2 5798 0.03
2 5799 0.0
2 5800 0.09
2 5801 0.0
2 5802 0.01
2 5803 0.05
2 5804 0.07
2 5805 0.07
2 5806 0.06
2 5807 0.03
2 5808 0.09
2 5809 0.05
2 5810 0.05
2 5811 0.05
2 3670 0.06
2 5812 0.01
2 2396 0.03
2 5813 0.05
2 5814 0.03
2 5815 0.03
2 5816 0.04
2 2324 0.0
2 5817 0.0
2 5818 0.01
2 5819 0.06
2 5820 0.0
2 5821 0.02
2 2242 0.05
2 5822 0.04
2 5823 0.08
2 5824 0.04
2 5825 0.02
2 4439 0.06
2 5826 0.09
2 5827 0.03
2 111 0.03
2 5828 0.0
2 5829 0.0
2 1518 0.01
2 5830 0.14
2 5831 0.03
2 5832 0.05
2 5833 0.02
2 4171 0.0
2 5834 0.06
2 5835 0.05
2 188 0.0
2 5836 0.03
2 5837 0.03
2 5838 0.09
2 5839 0.0
2 302 0.04
2 5840 0.0
2 5841 0.08
2 5842 0.07
2 5843 0.0
2 5844 0.0
2 5845 0.0
2 5846 0.06
2 5847 0.03
2 5848 0.0
2 5849 0.02
2 5850 0.0
2 5851 0.0
2 5504 0.02
2 5852 0.04
2 5853 0.06
2 5854 0.06
2 5855 0.06
2 5856 0.04
2 5857 0.04
2 5858 0.1
2 5859 0.0
2 5860 0.08
2 2431 0.07
2 5861 0.1
2 233 0.0
2 5862 0.03
2 5863 0.09
2 5864 0.08
2 5865 0.0
2 5866 0.02
2 4379 0.08
2 5867 0.09
2 5868 0.06
2 5869 0.05
2 5870 0.02
2 5871 0.0
2 5872 0.03
2 5873 0.05
2 4961 0.02
2 2269 0.03
2 5875 0.03
2 5876 0.0
2 1224 0.0
2 5877 0.05
2 5878 0.0
2 5879 0.07
2 5880 0.0
2 5881 0.06
2 3505 0.0
2 5882 0.06
2 5883 0.03
2 5884 0.04
2 5885 0.04
2 5886 0.0
2 5887 0.0
2 5888 0.0
2 5889 0.01
2 5890 0.06
2 5891 0.03
2 5892 0.0
2 5893 0.05
2 5894 0.04
2 5895 0.0
2 5896 0.0
2 5897 0.02
2 5898 0.04
2 5899 0.0
2 5900 0.04
2 5593 0.06
2 3206 0.03
2 5902 0.07
2 5903 0.0
2 3749 0.05
2 5904 0.0
2 5905 0.06
2 5906 0.0
2 950 0.0
2 5907 0.08
2 5908 0.04
2 1512 0.0
2 5909 0.0
2 3249 0.06
2 5910 0.0
2 5911 0.04
2 5912 0.02
2 5913 0.0
2 5914 0.03
2 4997 0.05
2 5915 0.03
2 5916 0.02
2 770 0.0
2 5917 0.05
2 5918 0.0
2 5919 0.08
2 5920 0.0
2 5921 0.06
2 5922 0.1
2 5923 0.08
2 5924 0.0
2 4096 0.01
2 5925 0.02
2 5926 0.02
2 1611 0.08
2 5927 0.03
2 5928 0.03
2 5929 0.0
2 5930 0.04
2 5931 0.05
2 5932 0.05
2 5933 0.07
2 5934 0.05
2 5935 0.0
2 5936 0.0
2 5937 0.04
2 5938 0.0
2 5939 0.04
2 5940 0.0
2 5941 0.0
2 5942 0.02
2 5943 0.02
2 5944 0.07
2 5945 0.0
2 5946 0.08
2 5947 0.06
2 5948 0.02
2 1459 0.03
2 5949 0.02
2 5950 0.04
2 5951 0.08
2 5952 0.03
