"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=476560"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=98006"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=461710"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=459093"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=519952"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=559884"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=304278"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=581555"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=74857"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=501098"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=3598"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=444568"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=28146"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=572034"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=575129"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=578330"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=566013"
"http://blog.sciencenet.cn/home.php?mod=space&uid=290052","http://blog.sciencenet.cn/home.php?mod=space&uid=238999"
