"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=252763"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=708326"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=451927"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=1636782"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=789923"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=5525"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=3503"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=571539"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=65865"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=22926"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=2237"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=477749"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=514529"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=104614"
"http://blog.sciencenet.cn/home.php?mod=space&uid=611951","http://blog.sciencenet.cn/home.php?mod=space&uid=2068"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1256255","http://blog.sciencenet.cn/home.php?mod=space&uid=750067"
"http://blog.sciencenet.cn/home.php?mod=space&uid=2100131",
"http://blog.sciencenet.cn/home.php?mod=space&uid=948571",
"http://blog.sciencenet.cn/home.php?mod=space&uid=1248527",
"http://blog.sciencenet.cn/home.php?mod=space&uid=623149","http://blog.sciencenet.cn/home.php?mod=space&uid=38899"
"http://blog.sciencenet.cn/home.php?mod=space&uid=623149","http://blog.sciencenet.cn/home.php?mod=space&uid=563198"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=2107559"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=2103238"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=892691"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=39416"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=355217"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=2237"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=306678"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=412323"
"http://blog.sciencenet.cn/home.php?mod=space&uid=698438","http://blog.sciencenet.cn/home.php?mod=space&uid=645360"
"http://blog.sciencenet.cn/home.php?mod=space&uid=2896624",
"http://blog.sciencenet.cn/home.php?mod=space&uid=1148563",
"http://blog.sciencenet.cn/home.php?mod=space&uid=664179",
"http://blog.sciencenet.cn/home.php?mod=space&uid=668403",
"http://blog.sciencenet.cn/home.php?mod=space&uid=932387",
"http://blog.sciencenet.cn/home.php?mod=space&uid=3195283",
"http://blog.sciencenet.cn/home.php?mod=space&uid=658287","http://blog.sciencenet.cn/home.php?mod=space&uid=678038"
"http://blog.sciencenet.cn/home.php?mod=space&uid=767340","http://blog.sciencenet.cn/home.php?mod=space&uid=779541"
"http://blog.sciencenet.cn/home.php?mod=space&uid=767340","http://blog.sciencenet.cn/home.php?mod=space&uid=4622"
"http://blog.sciencenet.cn/home.php?mod=space&uid=767340","http://blog.sciencenet.cn/home.php?mod=space&uid=279177"
"http://blog.sciencenet.cn/home.php?mod=space&uid=3283357",
"http://blog.sciencenet.cn/home.php?mod=space&uid=628736",
"http://blog.sciencenet.cn/home.php?mod=space&uid=2441382",
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1503178"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1963634"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1329388"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=287723"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=927348"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=3262030"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=5924"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=2731889"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=501376"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=2534064"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=2066673"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=2072307"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=2534804"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1992735"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=38975"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=523341"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=684641"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=808512"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1779300"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1880290"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=820245"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=273787"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1360033"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1475614"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=651918"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=117288"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=1264561"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=575129"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=973415"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=567367"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=448420"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=669320"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=506306"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=693180"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=262815"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=669889"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=713569"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=117536"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=861918"
"http://blog.sciencenet.cn/home.php?mod=space&uid=47086","http://blog.sciencenet.cn/home.php?mod=space&uid=519618"
