"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=729911"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=536560"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=654433"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=117288"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=515304"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=555335"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=970062"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=531084"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=1078385"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=651914"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=917389"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=714771"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=74956"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=796600"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=575129"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=61891"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=250648"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=572717"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=117727"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=246734"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=91444"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=505821"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=940159"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=259438"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=285633"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=3272966"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=809693"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=261002"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=2481600"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=498457"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=300114"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=1239334"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=2048045"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=718137"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=720485"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=434209"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=4699"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=309517"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=531950"
"http://blog.sciencenet.cn/home.php?mod=space&uid=89144","http://blog.sciencenet.cn/home.php?mod=space&uid=258308"
