"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=2324911",
"http://blog.sciencenet.cn/home.php?mod=space&uid=611122",
"http://blog.sciencenet.cn/home.php?mod=space&uid=2564712",
"http://blog.sciencenet.cn/home.php?mod=space&uid=481137","http://blog.sciencenet.cn/home.php?mod=space&uid=575129"
"http://blog.sciencenet.cn/home.php?mod=space&uid=481137","http://blog.sciencenet.cn/home.php?mod=space&uid=669320"
"http://blog.sciencenet.cn/home.php?mod=space&uid=2764675",
"http://blog.sciencenet.cn/home.php?mod=space&uid=626981",
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=1232242"
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=825582"
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=930477"
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=575129"
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=255662"
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=1471511"
"http://blog.sciencenet.cn/home.php?mod=space&uid=694114","http://blog.sciencenet.cn/home.php?mod=space&uid=2237"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=273948"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=561693"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=41757"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2984"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=69051"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=692836"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=279177"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=556706"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=858659"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=536560"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=267716"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=77026"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=673617"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=117889"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=934486"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=769246"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=789578"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=97481"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=5422"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1596892"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=430823"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=857713"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=826653"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=41174"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=3229395"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=3167596"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=691484"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2534064"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2736113"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2731889"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=708258"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2103354"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2103288"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2052653"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2066673"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=2072307"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1985241"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=756271"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=586382"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1784453"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1172984"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=750067"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=39095"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=640882"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=59440"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1674084"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=333505"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=777273"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=782675"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1350441"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1470909"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=918657"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=46763"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=632366"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=204936"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=468039"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=552179"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1003425"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=760898"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=114012"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=868920"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=657244"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=114193"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=1610478"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=392699"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=278905"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=520919"
"http://blog.sciencenet.cn/home.php?mod=space&uid=1329388","http://blog.sciencenet.cn/home.php?mod=space&uid=528739"
