"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=40247"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=829"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1162775"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=822310"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=215640"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=274385"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=681387"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2433300"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=504206"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=662134"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=39356"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=114283"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=568569"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=475824"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=50811"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=3377"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=780634"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=43772"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=404304"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=556706"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=475"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1037866"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=395200"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2027724"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1616"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=452120"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=474316"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1977494"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1239334"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1813901"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=218"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=680439"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1557"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=546623"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=646285"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=607399"
"http://blog.sciencenet.cn/home.php?mod=space&uid=443149",
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=279177"
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=265535"
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=396467"
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=635731"
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=5393"
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=554175"
"http://blog.sciencenet.cn/home.php?mod=space&uid=857523","http://blog.sciencenet.cn/home.php?mod=space&uid=766950"
