"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=990233"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=568441"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=555668"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=56669"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=309517"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=41757"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=6011"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=480705"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=2339914"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1180372"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=842903"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=827932"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=210844"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=299127"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=561973"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=648126"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=2361"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=238437"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1319915"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=534452"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=413462"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=5764"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=39070"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=22926"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=38450"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=244733"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=63948"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=2470641"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=105489"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=92016"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=924218"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=757457"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=450882"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1094241"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=667517"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=2211"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=260340"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=656087"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1328447"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=646270"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=702192"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=562087"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=249679"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=671924"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=2171679"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1884808"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=681254"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=817414"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=437346"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=695302"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=216530"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=66861"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=69051"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=64804"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=87091"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=593514"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1019234"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=39317"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=512051"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=487569"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=273875"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=593727"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=729789"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=609193"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=622531"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=459017"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=42404"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=423055"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=422646"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=41174"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=89391"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=3260806"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1349548"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1458267"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1350551"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=317360"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=4453"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=678412"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=45542"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=40049"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=469261"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=252769"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=3245787"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=3226978"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=45134"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=57940"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=926867"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=832018"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=38485"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=71685"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=66009"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=337122"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=586485"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=554179"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=829"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=2344"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1166206"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=866173"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=764911"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=292361"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=565899"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=3034100"
"http://blog.sciencenet.cn/home.php?mod=space&uid=39731","http://blog.sciencenet.cn/home.php?mod=space&uid=1460965"
